iter	RMSE
0	0.199042747
1	0.1987272539
2	0.1983698749
3	0.1981096984
4	0.1978207647
5	0.1975551463
6	0.1972762238
7	0.1969942409
8	0.1967378657
9	0.1965226004
10	0.1963281485
11	0.1959890434
12	0.1957685314
13	0.1954734619
14	0.1952831321
15	0.1951305093
16	0.1948829619
17	0.194632015
18	0.1943834214
19	0.1941564259
20	0.1938818896
21	0.1936223095
22	0.1934282935
23	0.1931942373
24	0.1930449216
25	0.1928603725
26	0.1926619186
27	0.1924041701
28	0.1921099645
29	0.1918645214
30	0.1916574415
31	0.1913897043
32	0.1911451924
33	0.1909900682
34	0.1908022734
35	0.1905407293
36	0.1902754112
37	0.1899803774
38	0.1898147789
39	0.1895627589
40	0.1893898433
41	0.1892227975
42	0.1889721992
43	0.1887297043
44	0.1885566516
45	0.1884468249
46	0.1883396351
47	0.1881627585
48	0.1879649714
49	0.1879347592
50	0.187795001
51	0.187609183
52	0.1874147928
53	0.1872705373
54	0.1871116503
55	0.1869265146
56	0.186797719
57	0.1866423653
58	0.186433288
59	0.1862339335
60	0.1860964586
61	0.185913356
62	0.1858490544
63	0.1856965083
64	0.1855561959
65	0.1853339386
66	0.1851639312
67	0.1849996914
68	0.1848388202
69	0.1846608198
70	0.184374036
71	0.1842106107
72	0.1839415849
73	0.183839903
74	0.1836541228
75	0.1835324382
76	0.1833127547
77	0.1831328166
78	0.1830094775
79	0.1827748298
80	0.182597049
81	0.1825368359
82	0.1824298429
83	0.182337689
84	0.1822262405
85	0.1820408458
86	0.1818814834
87	0.1817066711
88	0.1815625922
89	0.1814764932
90	0.1813423957
91	0.1811628324
92	0.181029758
93	0.1808265334
94	0.1805906923
95	0.1804257078
96	0.1802335965
97	0.1800475163
98	0.1797934927
99	0.1796420128
100	0.1794846815
101	0.1793047466
102	0.1791687192
103	0.1790078437
104	0.1788362488
105	0.1786370746
106	0.1784795137
107	0.1783289863
108	0.1782395725
109	0.1780712559
110	0.1779761325
111	0.1777804677
112	0.177657144
113	0.1774217407
114	0.177279647
115	0.1770888501
116	0.1769841905
117	0.1768870873
118	0.176726882
119	0.176561491
120	0.1764302714
121	0.1762253642
122	0.1760568471
123	0.1759563559
124	0.1757478124
125	0.1755321324
126	0.1754265476
127	0.1752531143
128	0.1751467639
129	0.175024569
130	0.1748084876
131	0.1746753683
132	0.174589812
133	0.1744428202
134	0.174248371
135	0.1741382871
136	0.1739814655
137	0.1738046543
138	0.173619662
139	0.173467106
140	0.173369846
141	0.1732986537
142	0.173120151
143	0.1730123394
144	0.1728026405
145	0.1726441884
146	0.1725351976
147	0.1722780354
148	0.1720606127
149	0.171906673
150	0.1717931973
151	0.1716448668
152	0.1714736407
153	0.1713736896
154	0.1712557502
155	0.1710617882
156	0.1708673073
157	0.1706871113
158	0.1705886567
159	0.1704719642
160	0.170214886
161	0.1700665111
162	0.1699413178
163	0.1698348497
164	0.1697318181
165	0.1695945079
166	0.1694464768
167	0.1693115582
168	0.1691435027
169	0.1690151456
170	0.1687206362
171	0.1686536418
172	0.1685030997
173	0.1683715851
174	0.1682580441
175	0.1681478675
176	0.1680625972
177	0.1679484373
178	0.1676950678
179	0.1675423512
180	0.167452904
181	0.1673587178
182	0.1672408208
183	0.1670752035
184	0.1669574328
185	0.1668491118
186	0.1667315889
187	0.1666369484
188	0.1665216375
189	0.1662672163
190	0.1660782917
191	0.1658922849
192	0.1657224525
193	0.165531605
194	0.1653928331
195	0.165281002
196	0.1651107379
197	0.1649797316
198	0.1648145454
199	0.1647310884
200	0.1645482822
201	0.164342721
202	0.1642082104
203	0.1640923726
204	0.1639349986
205	0.1638314343
206	0.1636989176
207	0.1636028637
208	0.1635111246
209	0.1633462902
210	0.1632739954
211	0.1631448406
212	0.1629852092
213	0.1627937134
214	0.1626578972
215	0.1624953061
216	0.1623685545
217	0.1620587032
218	0.1618928738
219	0.1617319522
220	0.1615470698
221	0.1614389545
222	0.161343889
223	0.1612526446
224	0.1611469265
225	0.1608874016
226	0.1607903896
227	0.1607082547
228	0.1605696267
229	0.1604719329
230	0.1603720641
231	0.1601337611
232	0.1599834822
233	0.1597904168
234	0.1597188783
235	0.1596496086
236	0.1595043742
237	0.159400184
238	0.1592479911
239	0.159167262
240	0.1590683502
241	0.1589424059
242	0.1587996087
243	0.1586539342
244	0.1584686766
245	0.1581922374
246	0.1580879717
247	0.1579067028
248	0.1577718113
249	0.1576065365
250	0.1574669276
251	0.1573808497
252	0.1572720323
253	0.1571515044
254	0.1570559654
255	0.1569771535
256	0.1568102558
257	0.1566012138
258	0.1564825866
259	0.1562896069
260	0.1561588802
261	0.1560517847
262	0.1559385759
263	0.1558115185
264	0.1557089233
265	0.1556215216
266	0.1555123164
267	0.1554708522
268	0.155364562
269	0.1552817407
270	0.1551757724
271	0.1550671892
272	0.1549161355
273	0.1547880466
274	0.1546710404
275	0.1545629039
276	0.1544794259
277	0.1543901364
278	0.1542983161
279	0.1542225999
280	0.154133175
281	0.15398372
282	0.1538714653
283	0.1537600052
284	0.1536647087
285	0.153391014
286	0.1532403264
287	0.1531126862
288	0.1529578237
289	0.1528959323
290	0.15286071
291	0.1527381114
292	0.1526817017
293	0.1525738133
294	0.1524586649
295	0.1523483186
296	0.1521840637
297	0.1521029432
298	0.1519649462
299	0.1518239143
300	0.1517544113
301	0.1517100743
302	0.1515472595
303	0.1514477974
304	0.1513251671
305	0.1512333805
306	0.151139532
307	0.151058027
308	0.1508958794
309	0.1508382523
310	0.1507793706
311	0.1507318582
312	0.1506823232
313	0.1505614164
314	0.1504761078
315	0.1503314546
316	0.1502639144
317	0.1501911793
318	0.1501066591
319	0.150046329
320	0.1499261612
321	0.149757176
322	0.1496121981
323	0.1494692861
324	0.1494129491
325	0.1493253151
326	0.1492485902
327	0.1491509447
328	0.1490979459
329	0.1489433267
330	0.1489106748
331	0.1488011692
332	0.1486629205
333	0.1485788912
334	0.1484865385
335	0.14841879
336	0.14827683
337	0.1481878959
338	0.1481473153
339	0.1480533373
340	0.1480168748
341	0.147853436
342	0.147822498
343	0.1477746232
344	0.1476521367
345	0.1476185989
346	0.1475878196
347	0.1474068331
348	0.1473707606
349	0.147326229
350	0.1472832958
351	0.1472012721
352	0.1471797986
353	0.1471389013
354	0.1470793607
355	0.1469448698
356	0.1468988279
357	0.1468512153
358	0.1467482629
359	0.1466714812
360	0.1465860816
361	0.1463959738
362	0.1463683402
363	0.1463037708
364	0.1462305558
365	0.1461049788
366	0.1460311131
367	0.1458871713
368	0.1457173957
369	0.1456884555
370	0.1455410438
371	0.1454874384
372	0.1453817867
373	0.1451714737
374	0.1451578726
375	0.1449968035
376	0.1448138224
377	0.1447435398
378	0.1446019607
379	0.1445057771
380	0.1444801276
381	0.1444535464
382	0.1442900035
383	0.1441739724
384	0.1440294669
385	0.1439379436
386	0.143750377
387	0.1436721696
388	0.1436156038
389	0.1434561751
390	0.1433537243
391	0.1432128587
392	0.1430708902
393	0.1430176548
394	0.1429783092
395	0.1429051155
396	0.1426659198
397	0.1424491425
398	0.1422987205
399	0.1422162435
400	0.1421415101
401	0.1420249058
402	0.141894506
403	0.1418377062
404	0.1416706344
405	0.1415825111
406	0.1414357826
407	0.1413130319
408	0.1412506301
409	0.1411135497
410	0.1409856874
411	0.1409212251
412	0.1408686067
413	0.1407103194
