iter	Passed	Remaining
0	2	2653
1	5	2851
2	10	3380
3	13	3239
4	15	3020
5	17	2853
6	19	2769
7	21	2695
8	23	2619
9	25	2570
10	28	2560
11	31	2623
12	34	2617
13	36	2605
14	39	2570
15	41	2546
16	43	2522
17	45	2491
18	47	2465
19	49	2444
20	51	2423
21	54	2410
22	56	2404
23	58	2389
24	60	2373
25	63	2365
26	65	2353
27	67	2344
28	71	2397
29	76	2486
30	81	2547
31	83	2535
32	85	2517
33	87	2498
34	90	2486
35	92	2489
36	95	2475
37	97	2470
38	99	2458
39	101	2446
40	104	2433
41	106	2424
42	108	2423
43	111	2416
44	113	2413
45	115	2403
46	118	2395
47	120	2384
48	122	2380
49	124	2359
50	126	2349
51	128	2342
52	130	2335
53	132	2326
54	135	2324
55	137	2315
56	139	2310
57	142	2320
58	145	2313
59	147	2303
60	149	2299
61	151	2292
62	153	2285
63	155	2279
64	158	2281
65	160	2272
66	162	2265
67	165	2261
68	167	2256
69	169	2250
70	171	2246
71	174	2245
72	176	2242
73	178	2235
74	180	2230
75	183	2227
76	185	2226
77	188	2223
78	190	2220
79	192	2214
80	194	2209
81	196	2204
82	200	2213
83	202	2213
84	205	2212
85	207	2206
86	209	2202
87	212	2197
88	214	2193
89	216	2189
90	218	2184
91	220	2177
92	224	2187
93	226	2184
94	228	2180
95	231	2183
96	233	2177
97	235	2172
98	238	2167
99	240	2162
100	242	2157
101	244	2152
102	246	2147
103	248	2144
104	250	2138
105	252	2133
106	255	2129
107	257	2124
108	259	2121
109	261	2117
110	264	2115
111	266	2113
112	268	2110
113	272	2115
114	274	2112
115	276	2110
116	279	2107
117	281	2103
118	283	2098
119	285	2094
120	289	2106
121	292	2103
122	294	2101
123	296	2097
124	298	2092
125	301	2088
126	303	2086
127	305	2082
128	307	2077
129	309	2073
130	312	2075
131	315	2073
132	317	2069
133	319	2067
134	322	2063
135	324	2058
136	326	2054
137	329	2057
138	332	2060
139	335	2059
140	337	2058
